genes,variables,statistic,p.value,parameter,method,padj
CHRNA5,SMC.bin,2.50219848951364,0.113687493709056,1,Kruskal-Wallis rank sum test,1
CHRNB4,Calc.bin,0.0140794585038631,0.905547188767854,1,Kruskal-Wallis rank sum test,1
CHRNB4,Collagen.bin,0.136556330076232,0.71172877449817,1,Kruskal-Wallis rank sum test,1
CHRNB4,epmajor.3years,0.169889654850409,0.68020989351446,1,Kruskal-Wallis rank sum test,1
CHRNB4,Fat.bin_10,2.6762017083204,0.101858413260222,1,Kruskal-Wallis rank sum test,1
CHRNB4,Fat.bin_40,0.0365656419258725,0.848352101095111,1,Kruskal-Wallis rank sum test,1
CHRNB4,IPH.bin,0.030530120841855,0.861292810303007,1,Kruskal-Wallis rank sum test,1
CHRNB4,Macrophages.bin,1.73389370002865,0.187914398971976,1,Kruskal-Wallis rank sum test,1
CHRNB4,SMC.bin,1.08082218787416,0.298513699767691,1,Kruskal-Wallis rank sum test,1
COL4A1,Calc.bin,1.1881447829082,0.275704095195727,1,Kruskal-Wallis rank sum test,1
COL4A1,Collagen.bin,0.00469110563121308,0.945394269641928,1,Kruskal-Wallis rank sum test,1
COL4A1,epmajor.3years,4.10042983921105,0.0428723126255398,1,Kruskal-Wallis rank sum test,1
COL4A1,Fat.bin_10,1.49442383133783,0.221531344016354,1,Kruskal-Wallis rank sum test,1
COL4A1,Fat.bin_40,0.0292354750116252,0.864236468903441,1,Kruskal-Wallis rank sum test,1
COL4A1,IPH.bin,0.00355806103293156,0.952434805360198,1,Kruskal-Wallis rank sum test,1
COL4A1,Macrophages.bin,0.393470739368214,0.530480652530597,1,Kruskal-Wallis rank sum test,1
COL4A1,SMC.bin,0.722741353629353,0.395246165055592,1,Kruskal-Wallis rank sum test,1
COL4A2,Calc.bin,0.0957274675507344,0.757018367341237,1,Kruskal-Wallis rank sum test,1
COL4A2,Collagen.bin,1.45987238354609,0.226950426951328,1,Kruskal-Wallis rank sum test,1
COL4A2,epmajor.3years,1.53295180699503,0.215669971191712,1,Kruskal-Wallis rank sum test,1
COL4A2,Fat.bin_10,2.72262938905091,0.098934917051346,1,Kruskal-Wallis rank sum test,1
COL4A2,Fat.bin_40,0.370934266513248,0.542495452791665,1,Kruskal-Wallis rank sum test,1
COL4A2,IPH.bin,0.999818358245681,0.31735446384193,1,Kruskal-Wallis rank sum test,1
COL4A2,Macrophages.bin,0.0551044139152591,0.814407982980263,1,Kruskal-Wallis rank sum test,1
COL4A2,SMC.bin,0.250375676411416,0.616810676306187,1,Kruskal-Wallis rank sum test,1
COMTD1,Calc.bin,0.0543077950078445,0.815730089621093,1,Kruskal-Wallis rank sum test,1
COMTD1,Collagen.bin,0.0898279550541329,0.764395989149289,1,Kruskal-Wallis rank sum test,1
COMTD1,epmajor.3years,5.97767995644605,0.0144880484387384,1,Kruskal-Wallis rank sum test,1
COMTD1,Fat.bin_10,6.54352734793029,0.010526642665081,1,Kruskal-Wallis rank sum test,1
COMTD1,Fat.bin_40,2.66256770953557,0.102734768187965,1,Kruskal-Wallis rank sum test,1
COMTD1,IPH.bin,0.188625525333058,0.664063051177027,1,Kruskal-Wallis rank sum test,1
